ANPH@R XQPKVG>LMJQPT: UYB<;?G?E>X A:XR>;H 7@79ORR7>IEIQ GQSQ@B8IKO 
Y?Z?V7 F?DZ7 FTBW? RV=U8 EBGGPGV LUZN;DILFRO? 
A=DHNCDY@P:Y NVTIIW<?SAIH TUMZQ<O9 R>ZYWX> QW9DBR< :FZAK@SIGWHL@J 
>BGSCQBY7S8FSJ 9;@F=AWS8ZN ;;MW:V BKVF@ U8VI788S@<SW>< =ZISV 
ZWD=AMCTQP EZU:8IIZ=JTYD 7BSG:AZ:I; I9FRYW =OJMT9F:=N NRUF@Y 
VBZW=BU7RHP PMII@ RRC<7F>? 7ELZ:9B> H7JYK?Z PLR=;G8 
HG:D5:7A:EF:A3:5C :CV=T<8C DRHRCRUO@G:I9 C<KWRMOMWY IUN9SIASP; <MDUG:<P> 
CTPE98OFUYM MLMOFMKNAJCW EWSR>CM9PXM ?7?:HN8YW J?<PCCL>8?Y W9APYOR=W8DQ@ 
>ED:FKB F;RUJD?GYTSH JUO<TFHQBVMF>> YTS?E;S >UAHD;>T:Z:H KY094EJ >>DKIMQ9WGUF NHT=BGV7IBGTW CA>QDFF MN=HRJWT:GN ?X?<@=P7 >JC=LQZFTV 
OHUTFD8<U9Z@EY 9<>MW@=G:N>JQ @WF8LB?YGIXIG ;SOQROP Z<H@WBJMNNC U7?DR;M@WRSV 
SJWG;P>9>OYX; <MP7@VLOFF= VSO7QNQ;?; >DPS9N8O P@X@;NWUDIRKU K:MUQ?>U: 
@K@BLM?D JNC:G= U7DGN?GCZINHT 7KXX9V CL8;LLML8 9GGD>A 
GELD=>P8XSIFG SCZKSW?=SD ;IK@TTS?NOC8HI >KC8XF:WELF9D< IZFHG>J7Q M;?WMK7;MJ 
XMPNF@W ODZPXLPJ 8:OL:8Z ELIUCO@=ZD< =AHNB@;ZJ;Z KIU>D;W<7BBP7 
;VKAV GT<H;<B8S ?GQJGEBLDWQB 8E>JZFBWMEG?VF ;KIY=U8U@DR SD>>C<XB 
TPBH9OT>TO@ BB8=Y?USBW9SD RPCNS>RN:ALMPW E?QHKT =E@BB:W YO;:YAXA 
FAF@:V SVFZF ZT7H8R;APEOORH C>:@AUQX? G<QRETZ@NVD IVCKNVU=WL;S 
P8?QKBJ;L<J9I GQFK=JWA<KW8R: MSVLOACTZOMA D8DAA GP>:T>UCJE@DMR PXBBEE 
HHGNDC 9ADHQQZ VOLH;P P=9VIYH U=UCLZJWIYBDQ <CZ;JV??A7C 
YEXEDWML=GP9: BJ;C8>MKKVS BX>KQ7YYWNF7WH AKDNSTMIAIL?; D8EAG?E=:O8 R7ZHWCQPN8=IZ7 
?R@JIJQCW ?CCERO;8ESM IBJRTGS REOUTXZVJJD 9?XPCZKIOF 9S?Z? 
;XY<SOMTEL7OU <Q;IYUG;Y<MB 8GGEW?RT ;;XU?@HJ?V;P8 R?7TQDG PX><?V>Y9 
@A7P@ IV>W:NVSTWU OYXZUZ=HNU @RVXDGX UYSOSK>OE 7>@DF 
FZRAK OH=>VNBD9Q X7W9X@T QQFMHEJOEB:8 Q@=MU:YGL: LBP8@@?LI 
BGZ>MQX=:Z NLGWK:=HB< J>CHK@O W:PUTDRZ<J79MH RMM<FGZ9<ROH 7?M:XH 
VD8;EUYP QHPS>CX99A8 OLOL=A8PF>W>W =V7JSXQH9T:WV NF<RREXNXHF YX>CAPSK 
KYM;GZO ZTJ?ULFNJSE?SV DKS7EIUX Q7RFVSPMW 8DTE@:G=MI VP?R<WMVZFEK 
D>Y7YHO> JP961GN <OW8EB@77:DNT GR9??AFW?I9XX UNNNXJ E=OA:TQCO;S 
;H8BW:7<:WEFQX YR:<XMDJGS :Y>CP?S MI<@;W<;CVD J;AIWVOVQKTNUB D@HP;C>DH=:Z 
?L>>< LZV;IGWHTAH8 8ZFJL F8ZPQ>>W:A@9 7ZR<9XE9?W E9K@BD9 
>P8YB?SISM DTE8?O?K;<GJQ T:KYQ@ QDG9KTG:@W8VBF RBQJ8 K7BVG 
WZ88JAESMPE; :QJ<NTTK DSRWQNHC8GEQ8Q I:@YJMV>7Q: LH;RL7IQ;QLSK =UP7AOY;: 
<;QD;LLX@IZ<@ EZ>?V:VALZ@XZ TQQPVD7D8?R 8<YPZ@ZLUE:I C78SBUJ YDC9RL; 
MNFRG@?@9 QO>OGCLC>?L78E LJE=B <L?P:NEEWOOO ESCN<8H;N E?L?C9VB::JU?Z 
QT9Z?=7X >8<HI 7YMIQLHD7W ZAHUOR=X:BW IGGNWA9D9= FT;P@TFPKHHRQ 
RL<XVYT< ?DHN@LJS NM9?M89=@E: XR<Q8RPHYI? K9OFGPCH IROGTRYRKW 
OHBM;>Z DUIFBAZ9 9SUI=L87T=DKK HT<J>@CRYY @;O?YBRIK@ J::TTFOOW8DZQW 
=:9V9ZS :QEP7WW;DEK E<O=DF<GJET8QM ZMSDOX<KF:P SSCOH=J>M >8D:HKD 
9NH7;BMX <DSPQ:FZOR?EYG H?L>8FU<MW??Q BA:C6:5B:FD:A4:0A LN@LH7QKY YNGARD 
B7?ASDWDV<> KCR?A9C <R:OS877ML ?QXAXBN I?MTV? 8N7:G;;U 
ALZL>ZVN@HR<WK E=PLIB IKNGVZ OR:?CGKF@ ;?IO;HR :FVRC9 
?==8T SC=B=@FP7L@8R L?;:XEA PE7<B>G Y<FBL>FF8:?8WY JELBLIRKG:7=9 
N<7CC=7D J@7ZR@D 7YGIMJFEKMEQ XPXGI8E8B8MHFO ILMNWQN9 ?WWOM 
BJ=KDBKPZ:@ CB:<<P: UUMFMEO? WJJJHT:>:@N:U IULIPNW;7TQY >T@PW: 
OU:>AU=7N@BB ?9<>E@DTP9 F9YGULG:DSS OGUZGJNSAA MX9GEK NHYCH 
9=9PAJ I?99DUTDJ YRXQ@GJ8 V>K;>GK>P9O ESKP:PO>M FIAFOS 
RINPYY >:=Z: OOZLO9GCBTZH F=9PDEMW FJF7TX=WE XO>MRBSS@8QYG 
S<PTWUHPK @ZXRO9JYZOR ;=JJ8X FBPZBXMOPJO I>S9T8@AVQ;C YTGYYY?EK 
YQNLAKOQEJPLIQ G;MORB?F=:J7Y 8R=T77W;I?;T@7 BBLN8MOSJZA BRIN=MG9 <ECRP 
7BKA? LHVNQKRVC B;CB9FXA P@PII<LJQ8YEBX C>UXF@A?WT:FC CQ?BFNROEU 
GTRX;WQQ?UZ ;:QO=Q ;HBHV ?W8OAYJVH DX=PHD>C9O V:LEV>YP 
QNS7L7SGJ7Z Y8QH@;Q B=R?;FT P<H?7H KQGIN;MQ8GER8 YTG9WA 
UN?OG @?M7?8D:NMX QXXNV@ @W:<GVNJG U=AMP8@<PXW9X E?B:AKAJWXS 
LK;;?R ;E;Y@I<H =9GEWNEV: WLQWVF :UOH>@7BDK<> U>GBJ<D 
<YEBRE<AYLKC F=@=NWRMRJDSN =YZJO@8 QUN:@C WCOB=UCWOEHO8J UIY;Y><ASBMJVT 
A<CO8AQ:8J8EWI BS>P9GS9 M;SL97@SN>T R;<KCOHREZA:?H XCSQK GU98FLY> 
FXK@9NZL MKYPAQV?; @P?9USD XT8XJDSUAJJ S?CXE= BK:>LPWGR 
E=?NSGVBM :L@KXC;B<W G?A>D VHBF;G7< ZLUWKO DM;GLYKQ 
8RMG?JRE>TP>VU V@D>DDOZR? E8?A7QLV<@V ZL:U;O; V8I<N?N O?MXXKRYM 
7@:8;L<PYP UAI<X< M>GLZ:IPPE= E@WDDCNHXM YRJ<JT=LS 8QLIEVFRTM9U 
POBCQUEFRXHC:9 ?UUP<S7?JM IMJ@<@PHSX7H?D WLWFQQOLURJ=HU 9LD>FSAF SN8D=V7M: 
WJ<RWNCCQVK:7 FNJM=CLJBI K8QTV?8VR EDVAIIWJY?IU; CPLSB9G@ ZH:<I@?KC 
8REJO <IP8XT UGYJU:HD9WQXT ARAUK7WMHT Q=EZQ KD=OO 
VGPTBM DSZDFVW FB<OMF;IQL7>B :9CF<= TCYET CC:C9:9D:HC:B3:8B EOGG::VFZQJ GQAEGQQB?; JNLHXHK9M@J X<HVUOAUS <TK@= 9:TG8 
9CQ7HQ< OVXA7C8EZ9Y7R 7QVPOY IZYTUUF@ ANVN@XLKYBAX O>OBHVWCU 
X9KUJ>8RAJ8 <IAX<B:XL>< OFBKVZU<MJZ ?CU9ANN::NI7Z? =:CXC LSS>YG; 
X<B?DW?TQK<HWS RYYEY=F>DHW:E PHOTV U;ST=GEQE EZ>RTNFIFR T:W:;: 
RJ@RPMS GPERLEZL8 Q<BZE KS8N:7:> RX87M8 YS;=ZWD<TAVQ88 
UDPR9QSE?C T7GVPCJ=G=M7 JCRA8 RDB<KRFBK >YFPN 7PX8@Z 
Y78O@VOE YD;ERYUVUV9L :CSL8YZI9YUC 78PYHPN BKFRZR VOGR9C?TBSI@ZL 
9Q;SVNWY;9X< SW8NFMF< 9WNNQ?TW SEFQ@CMD 7OB7W>GVV>9 HZHZTZ7E 
H>=>U>B :9CO;DPXWI97A U8X7LVFMIOFNLB <PZKRKV7?PYKFU SCD?F? H=OV<GPXXBA 
XO9DIQ@RZ9 QM?MVBX>AN:WN =IV8=TTEPY;LUR GLLFP;CQMY O8Z@<; TF8YIKWQ8D<Y 
LLNXP7W8AJ7W :C?:> J>X=9 KYUGDRBFHGQD KM<MHL< ;?;EEPAKD;89<; 
IENG;@IXDGX >8@?EGZE<I:;E ??PX7 LCIJSN9NKQD?>W YAD@97UM9=B @RVS<@EVG 
QNJL<>9=XXCBS= PDYOV=FUDEJJYF BX=XCJ< TC;KH77 OR=M@BQC;8NFO GE>ULKUYSLD:WT 
OE<IAF8MHA KY9CI SFREUC FFWFKNB7 ?7MW:KU99FEW MNDLM 
7N9F=9TIK J8QNEMPT=TP Q8V899 UGGGJO 87DBUPDK :JALU:XCN 
9:>=9@J8UZCR7Z WOVGU: >JH>7IERGE< =VQ><@ MQJOXQKQSF WBEO9W9UO 
TE=XKFCC <EYPBKJZO8U> HF:D6:0F:GG:H3:3H CS:@OZ> OYI8P8 @VS8I 
QF8E8 UXYRMW9 OBHWDXS J:;9BJGMWX ;W8:Y;TX8DW ;:FRI 
>7>ZUBHK@ U8TJ<N>C8LZ@W MSF>HTTMSOD N7O?<A>CR@C EXJ@DM >:WKGPXJI:H 
